Station,Date,Measurement,Month,Year,Day,DoY
09/1949-05/1979,11/11/1949,1.2,11,1949,11,315
09/1949-05/1979,05/12/1949,2.7,12,1949,05,339
09/1949-05/1979,06/12/1949,0.5,12,1949,06,340
09/1949-05/1979,07/12/1949,7.2,12,1949,07,341
09/1949-05/1979,08/12/1949,16.8,12,1949,08,342
09/1949-05/1979,09/12/1949,11.1,12,1949,09,343
09/1949-05/1979,10/12/1949,3.4,12,1949,10,344
09/1949-05/1979,15/12/1949,0.1,12,1949,15,349
09/1949-05/1979,17/12/1949,0.1,12,1949,17,351
09/1949-05/1979,18/12/1949,11.0,12,1949,18,352
09/1949-05/1979,19/12/1949,4.1,12,1949,19,353
09/1949-05/1979,20/12/1949,2.5,12,1949,20,354
09/1949-05/1979,21/12/1949,11.5,12,1949,21,355
09/1949-05/1979,24/12/1949,8.7,12,1949,24,358
09/1949-05/1979,25/12/1949,18.4,12,1949,25,359
09/1949-05/1979,26/12/1949,32.1,12,1949,26,360
09/1949-05/1979,27/12/1949,20.0,12,1949,27,361
09/1949-05/1979,28/12/1949,37.3,12,1949,28,362
09/1949-05/1979,29/12/1949,3.7,12,1949,29,363
09/1949-05/1979,01/01/1950,0.6,01,1950,01,1
09/1949-05/1979,02/01/1950,10.1,01,1950,02,2
09/1949-05/1979,04/01/1950,6.2,01,1950,04,4
09/1949-05/1979,05/01/1950,10.2,01,1950,05,5
09/1949-05/1979,06/01/1950,1.6,01,1950,06,6
09/1949-05/1979,07/01/1950,2.8,01,1950,07,7
09/1949-05/1979,10/01/1950,1.1,01,1950,10,10
09/1949-05/1979,11/01/1950,19.3,01,1950,11,11
09/1949-05/1979,12/01/1950,1.3,01,1950,12,12
09/1949-05/1979,13/01/1950,19.5,01,1950,13,13
09/1949-05/1979,16/01/1950,0.3,01,1950,16,16
09/1949-05/1979,20/01/1950,3.1,01,1950,20,20
09/1949-05/1979,21/01/1950,23.8,01,1950,21,21
09/1949-05/1979,22/01/1950,10.7,01,1950,22,22
09/1949-05/1979,23/01/1950,7.9,01,1950,23,23
09/1949-05/1979,26/01/1950,0.1,01,1950,26,26
09/1949-05/1979,01/02/1950,26.9,02,1950,01,32
09/1949-05/1979,02/02/1950,2.3,02,1950,02,33
09/1949-05/1979,03/02/1950,12.3,02,1950,03,34
09/1949-05/1979,04/02/1950,,02,1950,04,35
09/1949-05/1979,05/02/1950,,02,1950,05,36
09/1949-05/1979,06/02/1950,18.2,02,1950,06,37
09/1949-05/1979,09/02/1950,5.1,02,1950,09,40
09/1949-05/1979,10/02/1950,1.5,02,1950,10,41
09/1949-05/1979,11/02/1950,2.0,02,1950,11,42
09/1949-05/1979,21/02/1950,22.6,02,1950,21,52
09/1949-05/1979,22/02/1950,2.0,02,1950,22,53
09/1949-05/1979,25/02/1950,0.1,02,1950,25,56
09/1949-05/1979,04/03/1950,1.5,03,1950,04,63
09/1949-05/1979,05/03/1950,1.9,03,1950,05,64
09/1949-05/1979,06/03/1950,6.0,03,1950,06,65
09/1949-05/1979,07/03/1950,9.7,03,1950,07,66
09/1949-05/1979,09/03/1950,3.7,03,1950,09,68
09/1949-05/1979,10/03/1950,4.0,03,1950,10,69
09/1949-05/1979,24/03/1950,1.7,03,1950,24,83
09/1949-05/1979,25/03/1950,17.5,03,1950,25,84
09/1949-05/1979,26/03/1950,13.4,03,1950,26,85
09/1949-05/1979,28/03/1950,9.1,03,1950,28,87
09/1949-05/1979,29/03/1950,0.8,03,1950,29,88
09/1949-05/1979,04/05/1950,4.0,05,1950,04,124
09/1949-05/1979,05/05/1950,5.9,05,1950,05,125
09/1949-05/1979,06/05/1950,2.7,05,1950,06,126
09/1949-05/1979,10/05/1950,0.9,05,1950,10,130
09/1949-05/1979,11/05/1950,5.8,05,1950,11,131
09/1949-05/1979,12/05/1950,13.3,05,1950,12,132
09/1949-05/1979,01/10/1950,2.6,10,1950,01,274
09/1949-05/1979,02/10/1950,1.0,10,1950,02,275
09/1949-05/1979,06/10/1950,2.1,10,1950,06,279
09/1949-05/1979,07/10/1950,1.7,10,1950,07,280
09/1949-05/1979,10/10/1950,3.3,10,1950,10,283
09/1949-05/1979,19/10/1950,0.7,10,1950,19,292
09/1949-05/1979,21/10/1950,5.3,10,1950,21,294
09/1949-05/1979,09/11/1950,11.4,11,1950,09,313
09/1949-05/1979,10/11/1950,3.5,11,1950,10,314
09/1949-05/1979,14/11/1950,1.9,11,1950,14,318
09/1949-05/1979,15/11/1950,0.3,11,1950,15,319
09/1949-05/1979,16/11/1950,1.6,11,1950,16,320
09/1949-05/1979,17/11/1950,2.2,11,1950,17,321
09/1949-05/1979,25/11/1950,0.2,11,1950,25,329
09/1949-05/1979,26/11/1950,3.7,11,1950,26,330
09/1949-05/1979,29/11/1950,0.4,11,1950,29,333
09/1949-05/1979,30/11/1950,13.0,11,1950,30,334
09/1949-05/1979,03/12/1950,6.8,12,1950,03,337
09/1949-05/1979,04/12/1950,2.9,12,1950,04,338
09/1949-05/1979,05/12/1950,1.7,12,1950,05,339
09/1949-05/1979,19/12/1950,3.0,12,1950,19,353
09/1949-05/1979,28/12/1950,1.8,12,1950,28,362
09/1949-05/1979,29/12/1950,6.5,12,1950,29,363
09/1949-05/1979,30/12/1950,0.1,12,1950,30,364
09/1949-05/1979,31/12/1950,2.5,12,1950,31,365
09/1949-05/1979,06/01/1951,31.3,01,1951,06,6
09/1949-05/1979,07/01/1951,1.9,01,1951,07,7
09/1949-05/1979,08/01/1951,0.2,01,1951,08,8
09/1949-05/1979,15/01/1951,2.5,01,1951,15,15
09/1949-05/1979,19/01/1951,6.0,01,1951,19,19
09/1949-05/1979,20/01/1951,4.9,01,1951,20,20
09/1949-05/1979,21/01/1951,3.6,01,1951,21,21
09/1949-05/1979,22/01/1951,19.8,01,1951,22,22
09/1949-05/1979,04/02/1951,4.1,02,1951,04,35
09/1949-05/1979,05/02/1951,13.3,02,1951,05,36
09/1949-05/1979,09/02/1951,0.2,02,1951,09,40
09/1949-05/1979,10/02/1951,1.5,02,1951,10,41
09/1949-05/1979,11/02/1951,6.7,02,1951,11,42
09/1949-05/1979,12/02/1951,0.1,02,1951,12,43
09/1949-05/1979,17/02/1951,3.3,02,1951,17,48
09/1949-05/1979,18/02/1951,33.0,02,1951,18,49
09/1949-05/1979,19/02/1951,6.5,02,1951,19,50
09/1949-05/1979,20/02/1951,3.2,02,1951,20,51
09/1949-05/1979,21/02/1951,2.7,02,1951,21,52
09/1949-05/1979,11/03/1951,0.3,03,1951,11,70
09/1949-05/1979,24/03/1951,5.8,03,1951,24,83
09/1949-05/1979,25/03/1951,9.6,03,1951,25,84
09/1949-05/1979,28/03/1951,4.2,03,1951,28,87
09/1949-05/1979,17/04/1951,0.2,04,1951,17,107
09/1949-05/1979,18/04/1951,24.3,04,1951,18,108
09/1949-05/1979,19/04/1951,3.3,04,1951,19,109
09/1949-05/1979,22/04/1951,1.5,04,1951,22,112
09/1949-05/1979,23/04/1951,2.2,04,1951,23,113
09/1949-05/1979,24/04/1951,4.2,04,1951,24,114
09/1949-05/1979,25/04/1951,1.7,04,1951,25,115
09/1949-05/1979,14/09/1951,1.4,09,1951,14,257
09/1949-05/1979,07/10/1951,2.2,10,1951,07,280
09/1949-05/1979,09/10/1951,4.0,10,1951,09,282
09/1949-05/1979,14/10/1951,6.2,10,1951,14,287
09/1949-05/1979,21/10/1951,0.4,10,1951,21,294
09/1949-05/1979,28/10/1951,0.1,10,1951,28,301
09/1949-05/1979,05/11/1951,3.2,11,1951,05,309
09/1949-05/1979,06/11/1951,0.8,11,1951,06,310
09/1949-05/1979,07/11/1951,11.1,11,1951,07,311
09/1949-05/1979,08/11/1951,1.7,11,1951,08,312
09/1949-05/1979,25/11/1951,0.4,11,1951,25,329
09/1949-05/1979,26/11/1951,1.1,11,1951,26,330
09/1949-05/1979,27/11/1951,0.8,11,1951,27,331
09/1949-05/1979,29/11/1951,4.2,11,1951,29,333
09/1949-05/1979,30/11/1951,0.3,11,1951,30,334
09/1949-05/1979,02/12/1951,2.0,12,1951,02,336
09/1949-05/1979,03/12/1951,0.7,12,1951,03,337
